"time","ApparentPower","Current","Factor","Power","ReactivePower","Voltage"
"2023-02-16T09:47:20.000+01:00","13","0.058","0.49","6","11","220"
"2023-02-16T09:47:30.000+01:00","13","0.058","0.49","6","11","220"
"2023-02-16T09:47:40.000+01:00","13","0.057","0.48","6","11","220"
"2023-02-16T09:47:50.000+01:00","13","0.058","0.49","6","11","219"
"2023-02-16T09:48:00.000+01:00","12","0.057","0.49","6","11","219"
"2023-02-16T09:48:10.000+01:00","12","0.057","0.49","6","11","219"
"2023-02-16T09:48:20.000+01:00","13","0.058","0.48","6","11","219"
"2023-02-16T09:48:30.000+01:00","13","0.057","0.46","6","11","220"
"2023-02-16T09:48:40.000+01:00","13","0.058","0.47","6","11","220"
"2023-02-16T09:48:50.000+01:00","13","0.058","0.47","6","11","219"
"2023-02-16T09:49:00.000+01:00","12","0.057","0.47","6","11","219"
"2023-02-16T09:49:10.000+01:00","12","0.057","0.46","6","11","219"
"2023-02-16T09:49:20.000+01:00","12","0.057","0.5","6","11","219"
"2023-02-16T09:49:30.000+01:00","12","0.057","0.48","6","11","219"
"2023-02-16T09:49:40.000+01:00","12","0.057","0.47","6","11","219"
"2023-02-16T09:49:50.000+01:00","13","0.058","0.47","6","11","219"
"2023-02-16T09:50:00.000+01:00","13","0.058","0.48","6","11","219"
"2023-02-16T09:50:10.000+01:00","13","0.058","0.48","6","11","219"
"2023-02-16T09:50:20.000+01:00","13","0.058","0.47","6","11","219"
"2023-02-16T09:50:30.000+01:00","13","0.058","0.49","6","11","219"
"2023-02-16T09:50:40.000+01:00","13","0.058","0.46","6","11","219"
"2023-02-16T09:50:50.000+01:00","13","0.058","0.44","6","11","219"
"2023-02-16T09:51:00.000+01:00","12","0.057","0.47","6","11","218"
"2023-02-16T09:51:10.000+01:00","12","0.057","0.47","6","11","219"
"2023-02-16T09:51:20.000+01:00","12","0.057","0.49","6","11","218"
"2023-02-16T09:51:30.000+01:00","13","0.058","0.47","6","11","218"
"2023-02-16T09:51:40.000+01:00","12","0.057","0.47","6","11","219"
"2023-02-16T09:51:50.000+01:00","13","0.058","0.46","6","11","219"
"2023-02-16T09:52:00.000+01:00","13","0.058","0.47","6","11","219"
"2023-02-16T09:52:10.000+01:00","13","0.058","0.46","6","11","219"
"2023-02-16T09:52:20.000+01:00","13","0.058","0.46","6","11","219"
